p_in,p_out,F
-15,7.92,1500
-14,8.95,1500
-13,9.91,1500
-12,10.86,1500
-11,11.88,1500
-10,12.81,1500
-9,13.65,1500
-8,14.48,1500
-7,15.22,1500
-6,15.82,1500
-5,16.52,1500
-4,16.92,1500
-3,16.98,1500
-2,17.01,1500
-1,16.99,1500
0,17,1500
1,17.04,1500
2,17.06,1500
3,17,1500
-15,6.38,2000
-14,7.36,2000
-13,8.27,2000
-12,9.27,2000
-11,10.23,2000
-10,11.13,2000
-9,12.13,2000
-8,12.91,2000
-7,13.77,2000
-6,14.58,2000
-5,15.54,2000
-4,16.32,2000
-3,16.89,2000
-2,17.08,2000
-1,17.04,2000
0,17.04,2000
1,17.04,2000
2,17.05,2000
3,17.04,2000
-15,4.33,2500
-14,5.34,2500
-13,6.32,2500
-12,7.33,2500
-11,8.3,2500
-10,9.25,2500
-9,10.23,2500
-8,11.15,2500
-7,12.08,2500
-6,13.02,2500
-5,13.86,2500
-4,14.58,2500
-3,15.35,2500
-2,16.26,2500
-1,16.64,2500
0,16.77,2500
1,16.77,2500
2,16.88,2500
3,16.77,2500
